Header,12345,,,MST001,6,22/08/2025,jhb/mark/1,Y,0,,,,,,,,,,1,22/08/2025,,,,0,,,N,
Detail,0,1,1959.43,1959.43,each,25,0,0,5100010,Cloud Server Resources,6,,,,,,,,,,,,,,,,,
Header,12345,,,AMB001,6,22/08/2025,jhb/philliprhodes/2,Y,0,,,,,,,,,,1,22/08/2025,,,,0,,,N,
Detail,0,1,5035.01,5035.01,each,25,0,0,5100010,Cloud Server Resources,6,,,,,,,,,,,,,,,,,
Header,12345,,,RON001,6,22/08/2025,jhb/henco/3,Y,0,,,,,,,,,,1,22/08/2025,,,,0,,,N,
Detail,0,1,3980.12,3980.12,each,25,0,0,5100010,Cloud Server Resources,6,,,,,,,,,,,,,,,,,
Header,12345,,,HIR001,6,22/08/2025,jhb/brett/4,Y,0,,,,,,,,,,1,22/08/2025,,,,0,,,N,
Detail,0,1,706.46,706.46,each,11,0,0,5100010,Cloud Server Resources,6,,,,,,,,,,,,,,,,,
Header,12345,,,XYL001,6,22/08/2025,jhb/info/5,Y,0,,,,,,,,,,1,22/08/2025,,,,0,,,N,
Detail,0,1,6713.62,6713.62,each,25,0,0,5100010,Cloud Server Resources,6,,,,,,,,,,,,,,,,,
Header,12345,,,ISS001,6,22/08/2025,jhb/andre/6,Y,0,,,,,,,,,,1,22/08/2025,,,,0,,,N,
Detail,0,1,35321.31,35321.31,each,25,0,0,5100010,Cloud Server Resources,6,,,,,,,,,,,,,,,,,
